TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 19:40:00.000000000,-77.1990048789054,-7.61933418783067,620.32706914618
1 Jan 2020 19:40:01.000000000,-77.1508170697369,-7.79715733491914,620.319228827227
1 Jan 2020 19:40:02.000000000,-77.1025157806501,-7.9737039424762,620.311342540109
1 Jan 2020 19:40:03.000000000,-77.054102276926,-8.14898534962256,620.303410321381
1 Jan 2020 19:40:04.000000000,-77.0055778078907,-8.32301281401383,620.295432207811
1 Jan 2020 19:40:05.000000000,-76.9569436071045,-8.49579751121691,620.287408236376
1 Jan 2020 19:40:06.000000000,-76.9082008925503,-8.66735053417817,620.279338444272
1 Jan 2020 19:40:07.000000000,-76.8593508668206,-8.83768289271502,620.271222868901
1 Jan 2020 19:40:08.000000000,-76.8103947173038,-9.00680551308853,620.263061547884
1 Jan 2020 19:40:09.000000000,-76.7613336163688,-9.17472923760667,620.254854519049
1 Jan 2020 19:40:10.000000000,-76.7121687215485,-9.34146482429811,620.246601820445
1 Jan 2020 19:40:11.000000000,-76.6629011757224,-9.50702294661382,620.238303490319
1 Jan 2020 19:40:12.000000000,-76.6135321072973,-9.67141419319421,620.229959567146
1 Jan 2020 19:40:13.000000000,-76.5640626303872,-9.83464906766907,620.221570089597
1 Jan 2020 19:40:14.000000000,-76.5144938449914,-9.99673798849404,620.213135096569
1 Jan 2020 19:40:15.000000000,-76.4648268371713,-10.1576912888531,620.204654627157
1 Jan 2020 19:40:16.000000000,-76.4150626792259,-10.3175192165702,620.19612872068
1 Jan 2020 19:40:17.000000000,-76.3652024298654,-10.4762319340781,620.187557416656
1 Jan 2020 19:40:18.000000000,-76.3152471343839,-10.6338395184148,620.178940754826
1 Jan 2020 19:40:19.000000000,-76.2651978248298,-10.7903519612608,620.170278775132
1 Jan 2020 19:40:20.000000000,-76.2150555201755,-10.9457791690021,620.161571517732
1 Jan 2020 19:40:21.000000000,-76.1648212264848,-11.1001309628246,620.152819022993
1 Jan 2020 19:40:22.000000000,-76.1144959370791,-11.2534170788501,620.144021331487
1 Jan 2020 19:40:23.000000000,-76.0640806327018,-11.4056471682826,620.135178484004
1 Jan 2020 19:40:24.000000000,-76.0135762816811,-11.5568307976022,620.126290521538
1 Jan 2020 19:40:25.000000000,-75.9629838400916,-11.7069774487658,620.117357485296
1 Jan 2020 19:40:26.000000000,-75.9123042519134,-11.856096519447,620.108379416696
1 Jan 2020 19:40:27.000000000,-75.8615384491903,-12.0041973232914,620.099356357358
1 Jan 2020 19:40:28.000000000,-75.8106873521859,-12.1512890902018,620.090288349121
1 Jan 2020 19:40:29.000000000,-75.7597518695382,-12.2973809666375,620.081175434023
