TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 19:40:00.000000000,1541.4067401539,-206.196994220761,-6802.64243156667
1 Jan 2020 19:40:01.000000000,1546.4585387405,-211.760304179495,-6801.32483802231
1 Jan 2020 19:40:02.000000000,1551.50772006414,-217.324103432396,-6799.9992661336
1 Jan 2020 19:40:03.000000000,1556.55427815784,-222.888385100182,-6798.66571745551
1 Jan 2020 19:40:04.000000000,1561.59820705866,-228.45314230231,-6797.32419355236
1 Jan 2020 19:40:05.000000000,1566.63950080778,-234.018368156571,-6795.97469599784
1 Jan 2020 19:40:06.000000000,1571.67815345042,-239.584055779582,-6794.61722637499
1 Jan 2020 19:40:07.000000000,1576.7141590359,-245.150198286378,-6793.25178627619
1 Jan 2020 19:40:08.000000000,1581.74751161763,-250.716788790737,-6791.8783773032
1 Jan 2020 19:40:09.000000000,1586.77820525314,-256.283820404904,-6790.49700106709
1 Jan 2020 19:40:10.000000000,1591.80623400405,-261.851286239886,-6789.1076591883
1 Jan 2020 19:40:11.000000000,1596.83159193611,-267.419179405174,-6787.7103532966
1 Jan 2020 19:40:12.000000000,1601.85427311919,-272.987493009003,-6786.30508503112
1 Jan 2020 19:40:13.000000000,1606.87427162727,-278.556220158284,-6784.89185604032
1 Jan 2020 19:40:14.000000000,1611.89158153852,-284.125353958373,-6783.470667982
1 Jan 2020 19:40:15.000000000,1616.9061969352,-289.694887513534,-6782.04152252328
1 Jan 2020 19:40:16.000000000,1621.91811190375,-295.264813926559,-6780.60442134065
1 Jan 2020 19:40:17.000000000,1626.92732053477,-300.835126298955,-6779.15936611989
1 Jan 2020 19:40:18.000000000,1631.93381692302,-306.40581773088,-6777.70635855616
1 Jan 2020 19:40:19.000000000,1636.93759516744,-311.976881321263,-6776.24540035389
1 Jan 2020 19:40:20.000000000,1641.93864937113,-317.548310167737,-6774.7764932269
1 Jan 2020 19:40:21.000000000,1646.9369736414,-323.120097366538,-6773.29963889828
1 Jan 2020 19:40:22.000000000,1651.93256208975,-328.692236012772,-6771.81483910047
1 Jan 2020 19:40:23.000000000,1656.92540883189,-334.26471920013,-6770.32209557523
1 Jan 2020 19:40:24.000000000,1661.9155079877,-339.837540021188,-6768.82141007363
1 Jan 2020 19:40:25.000000000,1666.90285368133,-345.410691567162,-6767.31278435606
1 Jan 2020 19:40:26.000000000,1671.88744004112,-350.984166928063,-6765.79622019222
1 Jan 2020 19:40:27.000000000,1676.86926119965,-356.557959192625,-6764.27171936114
1 Jan 2020 19:40:28.000000000,1681.84831129373,-362.132061448437,-6762.73928365114
1 Jan 2020 19:40:29.000000000,1686.82458446442,-367.706466781869,-6761.19891485985
1 Jan 2020 19:40:30.000000000,1691.79807485704,-373.281168277971,-6759.65061479422
1 Jan 2020 19:40:31.000000000,1696.76877662113,-378.856159020743,-6758.09438527049
1 Jan 2020 19:40:32.000000000,1701.73668391056,-384.431432092844,-6756.5302281142
1 Jan 2020 19:40:33.000000000,1706.70179088341,-390.006980575903,-6754.95814516021
1 Jan 2020 19:40:34.000000000,1711.66409170207,-395.58279755026,-6753.37813825265
1 Jan 2020 19:40:35.000000000,1716.62358053321,-401.158876095131,-6751.79020924497
1 Jan 2020 19:40:36.000000000,1721.58025154781,-406.735209288536,-6750.1943599999
1 Jan 2020 19:40:37.000000000,1726.53409892111,-412.311790207464,-6748.59059238945
1 Jan 2020 19:40:38.000000000,1731.4851168327,-417.88861192761,-6746.97890829495
1 Jan 2020 19:40:39.000000000,1736.43329946646,-423.465667523657,-6745.35930960698
1 Jan 2020 19:40:40.000000000,1741.37864101058,-429.042950069166,-6743.73179822544
1 Jan 2020 19:40:41.000000000,1746.32113565761,-434.62045263647,-6742.09637605948
