TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 19:40:00.000000000,-1626.35175628446,5123.09063226597,-4450.09194614989
1 Jan 2020 19:40:01.000000000,-1623.23319231429,5119.10473751079,-4455.8138067622
1 Jan 2020 19:40:02.000000000,-1620.11331461097,5115.11241005848,-4461.53044044922
1 Jan 2020 19:40:03.000000000,-1616.99212775578,5111.11365437969,-4467.24184050498
1 Jan 2020 19:40:04.000000000,-1613.86963633028,5107.10847495344,-4472.9480002297
1 Jan 2020 19:40:05.000000000,-1610.74584491771,5103.09687626668,-4478.64891292972
1 Jan 2020 19:40:06.000000000,-1607.62075810138,5099.07886281475,-4484.34457191755
1 Jan 2020 19:40:07.000000000,-1604.49438046602,5095.05443910099,-4490.03497051184
1 Jan 2020 19:40:08.000000000,-1601.36671659676,5091.02360963702,-4495.72010203744
1 Jan 2020 19:40:09.000000000,-1598.23777108003,5086.98637894249,-4501.39995982535
1 Jan 2020 19:40:10.000000000,-1595.10754850262,5082.94275154531,-4507.07453721279
1 Jan 2020 19:40:11.000000000,-1591.97605345264,5078.89273198141,-4512.74382754314
1 Jan 2020 19:40:12.000000000,-1588.84329051865,5074.83632479494,-4518.407824166
1 Jan 2020 19:40:13.000000000,-1585.70926428995,5070.77353453823,-4524.06652043719
1 Jan 2020 19:40:14.000000000,-1582.57397935729,5066.70436577151,-4529.71990971871
1 Jan 2020 19:40:15.000000000,-1579.43744031146,5062.62882306338,-4535.36798537883
1 Jan 2020 19:40:16.000000000,-1576.29965174448,5058.54691099041,-4541.01074079203
1 Jan 2020 19:40:17.000000000,-1573.16061824908,5054.45863413731,-4546.64816933902
1 Jan 2020 19:40:18.000000000,-1570.02034441885,5050.36399709687,-4552.28026440679
1 Jan 2020 19:40:19.000000000,-1566.87883484796,5046.26300447003,-4557.90701938857
1 Jan 2020 19:40:20.000000000,-1563.73609413133,5042.15566086583,-4563.52842768384
1 Jan 2020 19:40:21.000000000,-1560.592126865,5038.04197090129,-4569.14448269837
1 Jan 2020 19:40:22.000000000,-1557.44693764532,5033.92193920166,-4574.75517784421
1 Jan 2020 19:40:23.000000000,-1554.30053106981,5029.79557040011,-4580.36050653969
1 Jan 2020 19:40:24.000000000,-1551.15291173633,5025.66286913803,-4585.96046220943
1 Jan 2020 19:40:25.000000000,-1548.00408424379,5021.52384006478,-4591.55503828437
1 Jan 2020 19:40:26.000000000,-1544.85405319171,5017.37848783779,-4597.14422820176
1 Jan 2020 19:40:27.000000000,-1541.70282318049,5013.22681712252,-4602.72802540514
1 Jan 2020 19:40:28.000000000,-1538.55039881097,5009.06883259257,-4608.3064233444
1 Jan 2020 19:40:29.000000000,-1535.39678468474,5004.90453892956,-4613.87941547577
1 Jan 2020 19:40:30.000000000,-1532.24198540442,5000.73394082304,-4619.4469952618
1 Jan 2020 19:40:31.000000000,-1529.08600557289,4996.55704297076,-4625.00915617141
1 Jan 2020 19:40:32.000000000,-1525.92884979416,4992.37385007834,-4630.56589167985
1 Jan 2020 19:40:33.000000000,-1522.77052267248,4988.18436685955,-4636.11719526876
1 Jan 2020 19:40:34.000000000,-1519.61102881312,4983.9885980361,-4641.66306042615
1 Jan 2020 19:40:35.000000000,-1516.45037282191,4979.78654833773,-4647.20348064639
1 Jan 2020 19:40:36.000000000,-1513.28855930545,4975.57822250214,-4652.73844943025
1 Jan 2020 19:40:37.000000000,-1510.12559287068,4971.36362527517,-4658.2679602849
1 Jan 2020 19:40:38.000000000,-1506.96147812564,4967.14276141049,-4663.7920067239
1 Jan 2020 19:40:39.000000000,-1503.79621967865,4962.91563566986,-4669.31058226723
1 Jan 2020 19:40:40.000000000,-1500.62982213873,4958.68225282305,-4674.82368044129
1 Jan 2020 19:40:41.000000000,-1497.4622901158,4954.44261764767,-4680.33129477889
1 Jan 2020 19:40:42.000000000,-1494.29362822003,4950.19673492947,-4685.83341881928
1 Jan 2020 19:40:43.000000000,-1491.12384106248,4945.94460946206,-4691.33004610816
1 Jan 2020 19:40:44.000000000,-1487.95293325476,4941.68624604704,-4696.82117019767
1 Jan 2020 19:40:45.000000000,-1484.78090940918,4937.42164949393,-4702.30678464641
1 Jan 2020 19:40:46.000000000,-1481.60777413832,4933.15082462031,-4707.78688301943
1 Jan 2020 19:40:47.000000000,-1478.43353205579,4928.87377625157,-4713.26145888827
1 Jan 2020 19:40:48.000000000,-1475.25818777537,4924.59050922117,-4718.73050583093
1 Jan 2020 19:40:49.000000000,-1472.08174591185,4920.30102837038,-4724.19401743191
1 Jan 2020 19:40:50.000000000,-1468.90421108024,4916.00533854849,-4729.6519872822
1 Jan 2020 19:40:51.000000000,-1465.72558789616,4911.70344461272,-4735.10440897927
1 Jan 2020 19:40:52.000000000,-1462.54588097599,4907.39535142814,-4740.55127612714
1 Jan 2020 19:40:53.000000000,-1459.36509493654,4903.08106386775,-4745.99258233631
